Title,AgentCompanyName,BC Agent Name,BC Vendor Code,Other Remarks
4555,INTERNATIONAL STUDENT EXCHANGE SERVICES (ISES) - Shanghai,International Student Exchange Services Pty Ltd,A108000240,
4557,ISN - INTERNATIONAL STUDENT NETWORK - Sydney,ISN - International Student Network,108002213,
4559,INTERNATIONAL STUDENT SUPPORT NETWORK (ISSN) - Melbourne,International Student Support Network,A108000955,
4562,INTERNATIONAL STUDIES SERVICE CENTRE (ISSC) - Kowloon,International Studies Service Centre,108002562,
4581,INTRODUCING AUSTRALIA STUDIES CENTRE - Hong Kong,Introducing Australia Studies Centre,A108000948,
4590,ISC-EDUCATION.;JSC - Hanoi,,,N/A
4643,JASON INTERNATIONAL EDUCATION - Taipei,Jason International Education Services Co,A108000250,
4679,JM EDUCATION GROUP BERHAD - Malaysia,JM EDUCATION GROUP BHD,A108001087,
4716,JRIS INTERNATIONAL CONSULTING CO LTD - Taipei,JRIS International Consulting Co Ltd,A108000949,
4723,JUN STUDYCARE - Sydney,Jun Studycare,A108000513,
4736,K & O MIGRATION AND EDUCATION SERVICES - Sydney,,,N/A
4744,KAAISER SERVICES PRIVATE LIMITED,Kaaiser Services Private Limited,A108000258,
4800,KeyWay International Education,KeyWay Interational Education Ltd,A108001101,
4815,Kiosk Colombia,,,N/A
4849,KOALA EDUCATION CENTRE - Sydney,Koala Education Centre,108000516,
4852,KOKOS INTERNATIONAL - Adelaide,KOKOS International Adelaide,108000705,
4853,KOKOS INTERNATIONAL - Brisbane,KOKOS International  Brisbane,108001184,
4854,KOKOS INTERNATIONAL - Seoul,KOKOS International Seoul/Korea,A108000264,
4855,KOKOS INTERNATIONAL - Melbourne,KOKOS INTERNATIONAL MELBOURNE ,108002697,
4856,KOKOS INTERNATIONAL - Perth,KOKOS International Pty Perth,108000464,
4858,KOKOS INTERNATIONAL - Sydney (Head Office),KOKOS International Sydney,A108000612,
4988,LATINO AUSTRALIA EDUCATION - Bogota,Latino Australia Education SA (LAE),108003370,
4989,LATINO AUSTRALIA EDUCATION - Medellin,Latino Australia Education SA (LAE),108003370,
4993,LATINO AUSTRALIA EDUCATION - Lima,Latino Australia Education SA (LAE),108003370,
4995,LATINO AUSTRALIA EDUCATION  - Cali,Latino Australia Education SA (LAE),108003370,
5114,LINK Education International Student Consulting,,,N/A
5266,MMS - MARKET MANAGEMENT SERVICES SDN BHD - Kuching,Market Managewment Services SDN BHD,108002984,
5330,MCI Turkiye International Education Turkey,MCI Turkiye International Education,A108001060,
5563,NEPTUNE EDUCATIONAL CONSULTANTS - Ahmedabad,Neptune Educational Consultants Pvt Ltd,A108001671,
5625,NOBLE HUMAN - Sydney,Noble Human Education and Migration,A108001001,
5685,OAL,,,N/A
5688,OCEANIC CONSULTANTS - Chandigarh,Oceanic Consultants Australia P/L,A108001113,
5694,OEC GLOBAL EDUCATION CO. LTD - Bangkok,OEC Global Education,A108001114,
5706,Olive Institute for International Education,,,N/A
5767,OZSTUDY.NET - Melbourne,Ozstudy Group Pty Ltd,A108001628,
5938,PLANET EDUCATION - Ahmedabad,Planet Education,A108001362,
5981,PRIME UHAK NET PTY LTD - Sydney,Prime Uhak Net P/L,108002285,
5994,PROFESSIONAL INTEREDUCATION CO LTD - Bangkok,Professional InterEducation Co,A108000337,
5999,PROGRESS STUDY CONSULTANCY - Jakarta,Progress Study Consultancy,A108001124,
6050,"QUOC ANH IEC Co., Ltd - Ho Chi Minh",Quoc Anh IEC Co Ltd,A108000486,
6071,Rainbow Education Consultancy,Rainbow Education Consultancy,108000751,
6086,READ ABROAD CONSULTANTS PVT LTD - Secunderabad,Read Abroad Consultants Pvt Ltd,A108001115,
6223,S AND K INTERNATIONAL EDUCATION - Bangkok,S and K International Education Pty Ltd,108003509,
6224,S AND K INTERNATIONAL EDUCATION - Sydney,S and K International Education Pty Ltd,108003509,
6229,S.H SYDNEY HUB EDUCATION CENTRE - Sydney,,,N/A
6354,SET EDUCATION - Hanoi,SET Education,A108001645,
6365,SHANGHAI CIIC EDUCATION INTERNATIONAL - Shanghai,Shanghai CIIC Education International Co. Ltd,A108000753,
6388,Shenyang Han Terry Consultancy Co. Ltd.,Shenyang Han Terry Consultancy Co. Ltd,A108000671,
6420,SIEC EDUCATION PRIVATE LIMITED - New Delhi,SIEC Education Pvt. Ltd,108003719,
6525,SOUTHERN HEMISPHERE OVERSEAS STUDY CENTRE - Taiwan,Southern Hemisphere Overseas Study Centre,A108000381,
6526,SOUTHERN SEAS EDUCATION - Pune,Southern Seas Education,A108000382,
6611,STELLAR EDUCATION & VISA CENTRE - Sydney,Stellar Sydney,A108000388,
6644,STB STUDENT TRAVEL BUREAU - Sao Paulo,STB Student Travel Bureau,108003008,
6657,SYDNEY HUB EDUCATION PTY LTD (FORMALLY STUDY HOJU) - Sydney,Hojuhelper Education Centre,A108001125,
6699,N/A,,,N/A
6707,SUPER RED EDUCATION AND TRAINING CENTRE - Hong Kong,Super Red Education & Training Centre,A108000651,
6814,TEWATOHNHI'SAKTHA,,,N/A
6884,THE CHOPRAS - New Delhi,The Chopras Global Holdings PTE Ltd,108002877,
6916,THE DEAN INTER EDUCATION CONSULTING - Bangkok,,,N/A
7237,U H INTERNATIONAL - Sydney,UH International (Elite Overseas),A108000150,
7243,Ucol,,,N/A
7247,IBN EDUCATION CENTRE - Chongro,iBN Education,108001971,
7248,IBN EDUCATION CENTRE - Sydney,iBN Education,108001971,
7250,UHAK.COM - Shinchon,uhak.com,A108000892,
7319,Vakom Overseas Education (No activity),,,N/A
7399,VISTA EDUCATION - Surabaya,Vista Education Services,A108000518,
7557,WINIK EDUCATION AND SERVICES - Indonesia,WINIK Education & Services,108001633,
7612,WORLDWIDE EDUCATION - Ho Chi Minh,"Worldwide Education Co., Ltd",108002269,
7652,YU TANG SHENG SHI COUNSELING CO (STUDYFR) - Beijing,"Yu Tang sheng shi Counseling Co., Ltd",108003123,
7659,SHINYWAY EDUCATION - Hangzhou,Shinyway International,A108001397,
7682,UHAK STATION - Sydney,Uhak Station,A108000604,
7683,UHAK STATION - Gangnam,Uhak station,A108000604,
7790,Brilliant Life Co. Ltd,Brilliant Life Co. LTd,108001509,
7946,AUG - Brisbane,AusEd-UniEd International Pty Ltd,A108000045,
7949,AUG - Johor Bahru,AusEd-UniEd International Pty Ltd,A108000045,
7958,CANAM CONSULTANTS LTD - India,Canam Consultants Limited,108002563,
7981,EIC GROUP - Beijing,EIC Group Ltd,A108000913,
7987,FORTRUST INTERNATIONAL - Singapore,,,N/A
8007,IDP EDUCATION - Guangzhou,IDP Education Pty Ltd,A108000222,
8266,KRAFT EDUCATIONAL SERVICES - India,,,N/A
8304,INTERNATIONAL STUDENT EXCHANGE SERVICES (ISES) - Adelaide,International Student Exchange Services Pty Ltd,A108000240,
8311,IDP EDUCATION - Kerela,IDP Education Pty Ltd,A108000222,
8367,I WORLD INTERNATIONAL GROUP PTY LTD - South Korea,I World International Group Pty Ltd,108001210,
8454,IDP EDUCATION - Melbourne,IDP Education Pty Ltd,A108000222,
8466,JAYDON STUDY ABROAD CENTRE - Taipei,,,N/A
8471,EDWISE INTERNATIONAL - Mumbai,Edwise International,A108001324,
8505,ELTIM OVERSEAS EDUCATION CONSULTANTS - Surabaya,ELTIM Overseas Education Consultants,108001929,
8976,"EDUCATION FOR LIFE CO., LTD - Huamark",Education For Life Co. Ltd,A108001482,
8978,A and A INTERNATIONAL EDUCATION - Shanghai,A&A International Education (Shanghai),A108000694,
8980,ACES EDUCATION CONSULTANCY - Hong Kong,Aces Education Consultancy,108000631,
8983,MEIC CONSULTING GROUP - Melbourne,MEIC Melbourne,A108001359,
8985,AUSTRALIAN AGENCY FOR EDUCATION AND TRAINING/ STUDYCO.COM - Melbourne,Australian Agency for Education & Training T/A Stu,108002426,
8992,AUSTRALIAN BUSINESS CENTRE - Malaysia,Australian Business Centre,A108000815,
9001,CP EDUCATION AND MIGRATION - Sydney,CP Education Australia,A108000116,
9028,SET EDUCATION - Ho Chi Minh,SET Education,A108001645,
9031,IMTP Consultants - Coimbatore,IMTP Consultancy Services Pvt Ltd,A108001298,
9067,UHAK.COM - Jongro (Head Quarter),uhak.com,A108000892,
9090,SYNCHRO OVERSEAS EDUCATION - Hong Kong,Synchro Overseas Education Company Ltd,108001228,
9099,STELLAR EDUCATION & VISA CENTRE - Thailand,Stellar Sydney,A108000388,
9103,UHAK.COM - Gangnam,uhak.com,A108000892,
9108,HONEW CONSULTING GROUP - Sydney,Honew Consulting Group Pty Ltd,A108001117,
9124,IDP EDUCATION - Perth,IDP Education Pty Ltd,A108000222,
9152,U AND I GLOBAL - Brisbane,U and I Australia,A108000424,
9153,CONNECT EDUCATION NETWORK - Brisbane,Connect Education Network Pty Ltd,A108001450,
9167,MEC Overseas Education Services,MEC Overseas Education Services,108001288,
9168,PREMIER STUDY MANAGEMENT - Indonesia,Premier Study Management,A108001318,
9172,UNIVERSAL SERVICES - Surabaya,Universal Services - Jakarta,A108001727,
9174,HUB-EDU,HUB-EDU,A108001345,
9201,C STUDY ABROAD - Sydney,C Study Abroad Pty Ltd,108000002,
9208,WORLDWIDE EDUCATION FOUNDATION - Taiwan,Worldwide Education Foundation,A108001393,
9218,U and A Educational and Commercial Consultation Co. Ltd.,"U&A Educational and Commercial Consultation Co., L",A108001291,
9219,Huatong Xinnuo Int'l Cultural Exchange Center Limited (Hti),IAE China-Beijing Huatongxinnuo Intl Cult Exch Ctr,108001440,
9221,D & LT CONSULTANTS LTD - China,,,N/A
9223,BONAN EDUCATION INTERNATIONAL - Shanghai,Bonan Education International,108003118,
9225,AAS EDUCATION CONSULTANCY - Hong Kong,AAS Education Consultancy,108001425,
9227,ELITE OVERSEAS STUDIES CENTRE - Hong Kong,Elite Overseas Studies Centre,108001402,
9228,WISDOM EDUCATIONAL CONSULTING LIMITED - Macao,Wisdom Educational Consulting Limited,A108001452,
9231,HUGESTONE EDUCATION CENTRE - Sydney,Hugestone Education Centre,108001907,
9326,IDP EDUCATION - Pune,IDP Education Pty Ltd,A108000222,
9374,OZ CLICK EDUCATION PTY LTD - Sydney,OZ Click Education,A108001847,
9376,KH UHAK PTY LTD - Sydney,,,N/A
9377,UHAK ACADEMY - Korea,UHAK Academy Korea,A108001360,
9378,EIC GROUP - Sydney,EIC Group Ltd,A108000913,
9390,Plus Education Service Centre,Plus Education Service Centre,A108001458,
9427,HOJUHELPER EDUCATION CENTRE (Uhakpen) - Seoul,Hojuhelper Education Centre,A108001125,
9428,AUG - Kuching,AusEd-UniEd International Pty Ltd,A108000045,
9433,Mi-Ed Consulting,Mi-Ed Consulting Taipei International Co.Ltd,A108001392,
9441,SHINYWAY EDUCATION - Guangzhou,Shinyway International,A108001397,
9443,AC AND T EDUCATION - Sunnybank,,,N/A
9453,NULL,,,N/A
9460,EDUMATES - Sydney,EduMate Australia Pty Ltd,A108001596,
9466,EDUYOUNG.COM - Brisbane,EduYoung.com,A108001716,
9467,IDP EDUCATION - Adelaide,IDP Education Pty Ltd,A108000222,
9490,CP AND CO INTERNATIONAL PTY LTD - Bangkok,,,N/A
9507,Franz & Lefort Education Abroad,Franz & Lefort,108002735,
9604,IAE EDU NET - Gold Coast,IAE EDU NET - SYDNEY,108002694,
9640,BRIDGE AGENCY - OVERSEAS EDUCATION CENTRE - Poland,Bridge Agency,108003290,
9675,AUS-CHINA INTERNATIONAL SERVICE CENTRE - Sydney,,,N/A
9699,GLOBAL TOTAL EDUCATION SERVICES - Medan,Global Total Education Services,108001896,
9744,Austral - Oriental Education Service Pty Ltd,,,N/A
9752,IDP EDUCATION - Brisbane,IDP Education Pty Ltd,A108000222,
9783,NEWTON INTERNATIONAL SERVICE (NEST) - Taiwan,Newton Educational Service & Tour Consultants Pty,A108001599,
9897,IEDUCARE SERVICES - Kuala Lumpur,iEducare Services,A108001220,
10219,Overseas Study Centre - Surabaya,Overseas Study Centre,108002435,
10221,CENTRAL EDUCATION SERVICES - Jakarta,Central Education Services ,A108001542,
10239,"Shanghai Qijia Business Consulting Service Co., Ltd",,,N/A
10245,Century 21 Edu Net,Century 21 Edu Net,A108000997,
10250,YEC EDUCATION CENTRE (YEC INTERNATIONAL LTD.) - Taiwan,YEC International Ltd.,A108001289,
10256,SW Education - Melbourne,,,N/A
10288,STUDY LINK COMPANY LIMITED - Ho Chi Minh,StudyLink,108000392,
10332,AOJI EDUCATION GROUP - Sydney,AOJI Education Australia Pty Ltd,108002022,
10568,Istanbul Education Abroad,,,N/A
10693,CENTURY OCEAN PTY LTD - Adelaide,Century Ocean Pty Ltd,108002633,
10715,IDP EDUCATION - Kolkata,IDP Education Pty Ltd,A108000222,
10735,CEDARWOOD CONSULTING LTD COMEGO - Beijing,"Beijing CedarWood Consulting Co.,Ltd",108001984,
10742,SIEC EDUCATION - Melbourne,SIEC Education Pvt. Ltd,108003719,
10744,STUDY INTERNATIONAL EDUCATION CONSULT SDN BHD - Manila,Study International Education Consult Sdn Bhd,108001285,
10748,EIC GROUP - Wuhan,EIC Group Ltd,A108000913,
10749,NULL,,,N/A
10750,HOJUNET CONSULTANCY - Sydney,Hojuhelper Education Centre,A108001125,
10751,SHINING TRAVEL AGENCY CO LTD - Taipei,Shining Travel Agency Co. Ltd.,A108001290,
10755,AUSTRALIAN VISA & STUDENT SERVICES GROUP - Melbourne,Australian Visa & Student Services,108000068,
10760,GLOBAL STUDENT SERVICES - Sydney,Global Student Services,A108001297,
10775,Sky international Education,Sky International Edu Gwangju,108002104,
10778,Hti EDU Taiwan,,,N/A
10851,IDP EDUCATION- Coimbatore,IDP Education Pty Ltd,A108000222,
11041,GetSet Taiwan,,,N/A
11042,"OvEdu Centre, Shanghai","Shanghai OvEdu Consulting Co., Ltd.",108002556,
11043,AUG - Adelaide,AusEd-UniEd International Pty Ltd,A108000045,
11062,LIGHTHOUSE STUDENT NETWORK - Sydney,Lighthouse Student Network,A108001622,
11071,PROGRESS STUDY CONSULTANCY - Sydney,Progress Study Consultancy,A108001124,
11073,PROGRESS STUDY CONSULTANCY - Melbourne,Progress Study Consultancy,A108001124,
11087,AC OVERSEAS STUDENT CENTRE - Sydney,AC Overseas Student Centre,A108001627,
11088,GLOBAL EDUCATION AND IMMIGRATION CENTRE - Sydney,,,N/A
11093,SUN EDUCATION GROUP - Jakarta,Sun Education Group Pte Ltd,108002728,
11095,PT Harapan Optimal Edukasi (AKA Hope 2000),Hope Education,108003449,
11107,EIC GROUP - Shanghai,EIC Group Ltd,A108000913,
11133,Anindo Dutabhuana,Anindo Dutabhuana,A108001585,
11135,BEST EDUCATION AND MIGRATION AFFAIRS CENTRE - Sydney,Best Education and Migration Affairs Centre,A108001747,
11266,STB STUDENT TRAVEL BUREAU - Pacific,STB Student Travel Bureau,108003008,
11276,MYEDU CONSULTING PTY LTD - Sydney,My Edu Consulting Pty Ltd,A108001505,
11309,VANGUARD EDUCATION CONSULTANCY - Taiwan,Vanguard Education Consultancy (VEC),108002017,
11316,STUDY OVERSEAS GLOBAL - India,Study Overseas Global Pvt Ltd,A108001791,
11319,AAC ACCESS ACADEMIC CONSULTANCY LTD - Hong Kong,Access Academic Consultancy Limited,A108001715,
11332,EIC GROUP - Jinan,EIC Group Ltd,A108000913,
